Description1,Description2,ItemNo,box,Maxqty
BRACELET,CUFF,DW00400001,Type-1,400
BRACELET,CUFF,DW00400002,Type-1,400
BRACELET,CUFF,DW00400003,Type-1,400
BRACELET,CUFF,DW00400004,Type-1,400
BRACELET,CUFF,DW00400071,Type-1,400
BRACELET,CUFF,DW00400072,Type-1,400
BRACELET,CUFF,DW00400073,Type-1,400
BRACELET,CUFF,DW00400074,Type-1,400
BRACELET,CUFF,DW00400075,Type-1,400
STRAP,MESH,DW00200139,Type-1,400
STRAP,MESH,DW00200140,Type-1,400
STRAP,MESH,DW00200165,Type-1,400
STRAP,MESH,DW00200192,Type-1,400
STRAP,MESH,DW00200193,Type-1,400
STRAP,MESH,DW00200194,Type-1,400
WATCH,LEATHER,DW00100025,Type-1,100
WATCH,LEATHER,DW00100067,Type-1,100
WATCH,LEATHER,DW00100069,Type-1,100
WATCH,LEATHER,DW00100070,Type-1,100
WATCH,LEATHER,DW00100076,Type-1,100
WATCH,LEATHER,DW00100090,Type-1,100
WATCH,LEATHER,DW00100095,Type-1,100
WATCH,LEATHER,DW00600006,Type-1,100
WATCH,LEATHER,DW00600007,Type-1,100
WATCH,LEATHER,DW00600009,Type-1,100
WATCH,LEATHER,DW00600011,Type-1,100
WATCH,LEATHER,DW00600014,Type-1,100
WATCH,LEATHER,DW00600020,Type-1,100
WATCH,LEATHER,DW00600021,Type-1,100
WATCH,LEATHER,DW00600023,Type-1,100
WATCH,LEATHER,DW00600028,Type-1,100
WATCH,LEATHER,DW00600035,Type-1,100
WATCH,LEATHER,DW00600036,Type-1,100
WATCH,LEATHER,DW00600038,Type-1,100
WATCH,LEATHER,DW00600039,Type-1,100
WATCH,LEATHER,DW00600041,Type-1,100
WATCH,LEATHER,DW00600052,Type-1,100
WATCH,LEATHER,DW00600053,Type-1,100
WATCH,LEATHER,DW00600055,Type-1,100
WATCH,LEATHER,DW00600056,Type-1,100
WATCH,LEATHER,DW00600058,Type-1,100
WATCH,LEATHER,DW00600109,Type-1,100
WATCH,LEATHER,DW00600110,Type-1,100
WATCH,LEATHER,DW00600111,Type-1,100
WATCH,LEATHER,DW00600112,Type-1,100
WATCH,LEATHER,DW00600120,Type-1,100
WATCH,LEATHER,DW00600121,Type-1,100
WATCH,LEATHER,DW00600122,Type-1,100
WATCH,LEATHER,DW00600123,Type-1,100
WATCH,LEATHER,DW00600124,Type-1,100
WATCH,LEATHER,DW00600125,Type-1,100
WATCH,LEATHER,DW00600126,Type-1,100
WATCH,LEATHER,DW00600127,Type-1,100
WATCH,LEATHER,DW00600128,Type-1,100
WATCH,LEATHER,DW00600129,Type-1,100
WATCH,LEATHER,DW00600130,Type-1,100
WATCH,LEATHER,DW00600131,Type-1,100
WATCH,LEATHER,DW00600132,Type-1,100
WATCH,LEATHER,DW00600133,Type-1,100
WATCH,LEATHER,DW00600134,Type-1,100
WATCH,LEATHER,DW00600135,Type-1,100
WATCH,LEATHER,DW00600136,Type-1,100
WATCH,LEATHER,DW00600137,Type-1,100
WATCH,LEATHER,DW00600138,Type-1,100
WATCH,LEATHER,DW00600139,Type-1,100
WATCH,LEATHER,DW00600140,Type-1,100
WATCH,LEATHER,DW00600141,Type-1,100
WATCH,LEATHER,DW00600142,Type-1,100
WATCH,LEATHER,DW00600143,Type-1,100
