ItemNo,Description1,client,B408020,B193818
A-AG-GIFT,ของขวัญรีวิวให้ลูกค้า,DEFAULT,,
A-APEV-700W,ขวด PE EVE700ml ขาว,DEFAULT,50,
A-APKI-080F,ขวด Kirei 80ml ฟ้า,DEFAULT,250,50
A-APKI-080P,ขวด Kirei 80ml ชมพู,DEFAULT,250,50
A-APKI-300B,ขวด Kirei 350ml ดำ,DEFAULT,75,
A-APKI-300F,ขวด Kirei 350ml ฟ้า,DEFAULT,75,
A-APKI-300P,ขวด Kirei 350ml ชมพู,DEFAULT,75,
A-APKI-300W,ขวด Kirei 350ml ขาว,DEFAULT,75,
A-APLA-300W,ขวด PE LADY300ml ขาว,DEFAULT,100,
A-APPE-060W,ขวด PE 60 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-100B,ขวด PE 100 กรัม กลม ดำทึบ,DEFAULT,300,50
A-APPE-100W,ขวด PE 100 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-120W,ขวด PE 120 กรัม กลม ขาวขุ่น,DEFAULT,300,50
A-APPE-150W,ขวด PE 150 กรัม กลม ขาวขุ่น,DEFAULT,200,
A-APPE-200B,ขวด PE 200 กรัม กลม ดำทึบ,DEFAULT,150,
A-APPE-200W,ขวด PE 200 กรัม กลม ขาวขุ่น,DEFAULT,150,
A-APPE-250B,ขวด PE 250 กรัม กลม ดำทึบ,DEFAULT,150,
A-APPE-250W,ขวด PE 250 กรัม อ้วนกลมขาว,DEFAULT,150,
A-APPE-350W,ขวด PE 350 กรัม ขาวขุ่น,DEFAULT,78,
A-APPE-500B,ขวด PE 500 กรัม กลม ดำทึบ,DEFAULT,72,
A-APPE-500W,ขวด PE 500 กรัม กลม ขาวทึบ,DEFAULT,72,
A-APPESA-100W,ขวด PESA 100ml สีขาว,DEFAULT,150,
A-CHMD01-100W,ขวดยาเม็ด MD01-100CC ขาว สี่เหลี่ยม,DEFAULT,200,
A-CHMD03-100W,ขวดยาเม็ด MD03-100CC ขาว กลมใหญ่ไหล่ลาด,DEFAULT,150,
A-CHMF01-100W,ขวดยาเม็ด MF01-150ml กลมใหล่ลาดฝาฉีก คอ 40 สีขาว,DEFAULT,150,
A-CHMF02-100W,ขวดยาเม็ด MF02-100ml กลมใหล่ลาดฝาฉีก คอ 40 สีขาว,DEFAULT,200,
A-CHMF03-100W,ขวดยาเม็ด MF03-100ml กลม ฝาฉีก คอ 37 สีขาว,DEFAULT,200,
A-CHPP-030F,ขวดสบู่ 30 กรัม สีฟ้าใส คาดเงิน,DEFAULT,,100
A-CHPP-030G,ขวดสบู่ 30 กรัม สีเขียวใส คาดเงิน,DEFAULT,,100
A-CHPP-030Y,ขวดสบู่ 30 กรัม สีเหลืองใส คาดเงิน,DEFAULT,,100
A-CHPP-060C,ขวดสบู่ 60 กรัม สีใส,DEFAULT,,50
A-CHPP-060P,ขวดสบู่ 60 กรัม สีชมพูใส คาดเงิน,DEFAULT,,50
A-CHPP-120C,ขวดสบู่ 120 กรัม สีใส คาดเงิน,DEFAULT,150,
A-CHPP-120F,ขวดสบู่ 120 กรัม สีฟ้าใส คาดเงิน,DEFAULT,150,
A-CHPP-240W,ขวดสบู่ 240 กรัม (8อ.) สีขาว,DEFAULT,,
A-DDKR-100C,ขวด KR 100 ใส,DEFAULT,300,50
A-DPP180-C,ขวด PET รุ่น DPP 180ml สีใส ขวดพริกไทย (ฝา36mm),DEFAULT,100,
A-DPPcap-B,ฝา DPP พริกไทย (36mm) สีดำ,DEFAULT,150,
A-DPPcap-N,ฝา DPP พริกไทย (36mm) สีน้ำเงิน,DEFAULT,150,
A-DPPcap-R,ฝา DPP พริกไทย (36mm) สีแดง,DEFAULT,150,
A-DPR075-BR,ขวดPETกลมรุ่น DPR75ml สีน้ำตาลใส (ฝา33mm),DEFAULT,300,50
A-DPR075-N,ขวดPETกลมรุ่น DPR75ml สีน้ำเงินใส (ฝา33mm),DEFAULT,300,50
A-DPR075-P,ขวดPETกลมรุ่น DPR75ml สีชมพู (ฝา33mm),DEFAULT,300,50
A-DPR075-W,ขวดPETกลมรุ่น DPR75ml ขาวทึบ (ฝา33mm),DEFAULT,300,50
A-DPR120-BR,ขวดPETกลมรุ่น DPR120ml สีชา (ฝา38mm),DEFAULT,200,
A-DPR120-P,ขวดPETกลมรุ่น DPR120ml สีชมพู (ฝา38mm),DEFAULT,200,
A-DPR120-W,ขวดPETกลมรุ่น DPR120ml ขาว (ฝา38mm),DEFAULT,200,
A-DPR180-BR,ขวดPETกลมรุ่น DPR180ml สีชา (ฝา45mm),DEFAULT,100,
A-DPR220-BR,ขวดPETกลมรุ่น DPR220ml สีชา (ฝา45mm),DEFAULT,150,
A-DPR220-W,ขวดPETกลมรุ่น DPR220ml ขาว (ฝา45mm),DEFAULT,150,
A-DPR300-BR,ขวดPETกลมรุ่น DPR300ml สีชา (ฝา45mm),DEFAULT,50,
A-DR030-W,ขวดPEกลมรุ่น DR30ml ขาว (ฝา33mm),DEFAULT,,100
A-DR080-W,ขวดPEกลมรุ่น DR80ml ขาว (ฝา38mm),DEFAULT,,50
A-DR120-W,ขวดPEกลมรุ่น DR120ml ขาว (ฝา38mm),DEFAULT,100,
A-DR250-W,ขวดPEกลมรุ่น DR250ml ขาว (ฝา53mm),DEFAULT,75,
A-DS100-W,ขวดPEเหลี่ยมรุ่น DS100ml ขาว (ฝา33mm),DEFAULT,250,
A-DS155-W,ขวดPEเหลี่ยมรุ่น DS150ml ขาว (ฝา38mm),DEFAULT,150,
A-DS300-W,ขวดPEเหลี่ยมรุ่น DS300ml ขาว (ฝา45mm),DEFAULT,75,
A-DS-CFC1-38,ฝาฟลิบ CFC 38mm สีดำ,DEFAULT,,350
A-DS-CFC1-45,ฝาฟลิบ CFC 45mm สีดำ,DEFAULT,,300
A-DS-CFC2-38,ฝาฟลิบ CFC 38mm สีน้ำตาล GNC,DEFAULT,,350
A-DS-CFC2-45,ฝาฟลิบ CFC 45mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CFC5-38,ฝาฟลิบ CFC 38mm สีขาว,DEFAULT,,350
A-DS-CFC5-45,ฝาฟลิบ CFC 45mm สีขาว,DEFAULT,,300
A-DS-CFC6-38,ฝาฟลิบ CFC 38mm สีเขียว,DEFAULT,,350
A-DS-CFC6-45,ฝาฟลิบ CFC 45mm สีเขียว,DEFAULT,,300
A-DS-CFC7-38,ฝาฟลิบ CFC 38mm สีส้ม,DEFAULT,,350
A-DS-CFC7-45,ฝาฟลิบ CFC 45mm สีส้ม,DEFAULT,,300
A-DS-CFC8-38,ฝาฟลิบ CFC 38mm สีเหลือง,DEFAULT,,350
A-DS-CFC8-45,ฝาฟลิบ CFC 45mm สีเหลือง,DEFAULT,,300
A-DS-CFC9-45,ฝาฟลิบ CFC 45mm สีม่วง,DEFAULT,,300
A-DS-CKC1-45,ฝาเกลียว CKC 45mm สีดำ,DEFAULT,,350
A-DS-CLC2-38,ฝาฟลิบ CLC 38mm สีน้ำตาล GNC,DEFAULT,,600
A-DS-CLC2-45,ฝาฟลิบ CLC 45mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CRC1-33,ฝาล๊อก2ชั้น CRC 33mm สีดำ,DEFAULT,,350
A-DS-CRC1-38,ฝาล๊อก2ชั้น CRC 38mm สีดำ,DEFAULT,,300
A-DS-CRC1-45,ฝาล๊อก2ชั้น CRC 45mm สีดำ,DEFAULT,,200
A-DS-CRC2-33,ฝาล๊อก2ชั้น CRC 33mm สีน้ำตาล GNC,DEFAULT,,350
A-DS-CRC2-38,ฝาล๊อก2ชั้น CRC 38mm สีน้ำตาล GNC,DEFAULT,,300
A-DS-CRC2-45,ฝาล๊อก2ชั้น CRC 45mm สีน้ำตาล GNC,DEFAULT,,200
A-DS-CRC3-33,ฝาล๊อก2ชั้น CRC 33mm สีเทา,DEFAULT,,350
A-DS-CRC3-38,ฝาล๊อก2ชั้น CRC 38mm สีเทา,DEFAULT,,300
A-DS-CRC3-45,ฝาล๊อก2ชั้น CRC 45mm สีเทา,DEFAULT,,200
A-DS-CRC4-33,ฝาล๊อก2ชั้น CRC 33mm สีชมพู,DEFAULT,,350
A-DS-CRC4-38,ฝาล๊อก2ชั้น CRC 38mm สีชมพู,DEFAULT,,300
A-DS-CRC4-45,ฝาล๊อก2ชั้น CRC 45mm สีชมพู,DEFAULT,,200
A-DS-CRC5-33,ฝาล๊อก2ชั้น CRC 33mm สีขาว,DEFAULT,,350
A-DS-CRC5-38,ฝาล๊อก2ชั้น CRC 38mm สีขาว,DEFAULT,,300
A-DS-CRC5-45,ฝาล๊อก2ชั้น CRC 45mm สีขาว,DEFAULT,,200
A-DS-CRC5-53,ฝาล๊อก2ชั้น CRC 53mm สีขาว,DEFAULT,,200
A-DS-CRC7-33,ฝาล๊อก2ชั้น CRC 33mm สีทอง,DEFAULT,,350
A-DS-CRC7-38,ฝาล๊อก2ชั้น CRC 38mm สีทอง,DEFAULT,,300
A-DS-CRC7-45,ฝาล๊อก2ชั้น CRC 45mm สีทอง,DEFAULT,,200
A-DS-CRC8-38,ฝาล๊อก2ชั้น CRC 38mm สีเหลือง,DEFAULT,,300
A-DTC150-BR,ขวดPETกลมรุ่น DTC 150ml สีชา (ฝา45mm),DEFAULT,100,
A-DTC150-WT,ขวดPETกลมรุ่น DTC 150ml สีขาวทึบ (ฝา45mm),DEFAULT,100,
A-DTC200-BR,ขวดPETกลมรุ่น DTC 200ml สีชา,DEFAULT,100,
A-DTC200-WT,ขวดPETกลมรุ่น DTC 200ml สีขาวทึบ (ฝา45mm),DEFAULT,100,
A-DTC300-BR,ขวดPETกลมรุ่น DTC 300ml สีชา (ฝา45mm),DEFAULT,80,
A-DTC300-WT,ขวดPETกลมรุ่น DTC 300ml สีขาวทึบ (ฝา45mm),DEFAULT,80,
A-DTC-CAP45-W,ฝาฉีกขาด DTC 45mm สีขาว,DEFAULT,,150
A-FA23-040CF,ขวด FA23-40ML ใสฝ้า,DEFAULT,,100
A-FA23-100CF,ขวด FA23-100ML ใสฝ้า,DEFAULT,,50
A-FA23-150CF,ขวด FA23-150ML ใสฝ้า,DEFAULT,150,25
A-FA23-CAP150G,ฝาเกลียว FA23 (150ML) สีทอง,DEFAULT,,200
A-FA23-CAP150S,ฝาเกลียว FA23 (150ML) สีเงิน,DEFAULT,,200
A-FA23-COVER040G,ฝาครอบ FA23 (40ML) สีทอง,DEFAULT,,200
A-FA23-COVER040S,ฝาครอบ FA23 (40ML) สีเงิน,DEFAULT,,200
A-FA23-COVER100G,ฝาครอบ FA23 (100ML) สีทอง,DEFAULT,,150
A-FA23-COVER100S,ฝาครอบ FA23 (100ML) สีเงิน,DEFAULT,,150
A-FA23-JOOK150,จุกในขวด FA23 (150ML),DEFAULT,,800
A-FA23-PUMP040G,หัวปั๊ม FA23 (40ML) สีทอง,DEFAULT,,300
A-FA23-PUMP040S,หัวปั๊ม FA23 (40ML) สีเงิน,DEFAULT,,300
A-FA23-PUMP100G,หัวปั๊ม FA23 (100ML) สีทอง,DEFAULT,,150
A-FA23-PUMP100S,หัวปั๊ม FA23 (100ML) สีเงิน,DEFAULT,,150
A-GL-040CF,ตัวขวด GL 40ml ใสฝ้า,DEFAULT,,50
A-GL-100CF,ตัวขวด GL 100ml ใสฝ้า,DEFAULT,,40
A-GL-CAPSET100,ฝาเกลียว GL (100),DEFAULT,,100
A-GL-PUMPCover040,ฝาครอบปั๊ม GL (40),DEFAULT,,100
